date_sick_year,date_sick_biweek,province,cases,date_delivered_year,date_delivered_biweek
1968,3,57,0,1968,0
1968,3,58,0,1968,0
1968,3,60,1.49335036734346,1968,0
1968,3,61,0,1968,0
1968,3,62,0,1968,0
1968,3,63,0,1968,0
1968,3,64,0,1968,0
1968,3,65,0,1968,0
1968,3,66,0,1968,0
1968,3,67,0,1968,0
1968,3,70,0.329995448337451,1968,0
1968,3,71,0,1968,0
1968,3,72,0.224913991425971,1968,0
1968,3,73,0.403336561514608,1968,0
1968,3,74,0.0133701307376539,1968,0
1968,3,75,0,1968,0
1968,3,76,0,1968,0
1968,3,77,0.989986345012354,1968,0
1968,3,80,2.32942441291098,1968,0
1968,3,81,0,1968,0
1968,3,82,0,1968,0
1968,3,83,0,1968,0
1968,3,84,0,1968,0
1968,3,85,0,1968,0
1968,3,86,0,1968,0
1968,3,90,0,1968,0
1968,3,91,0,1968,0
1968,3,92,0,1968,0
1968,3,93,0,1968,0
1968,3,94,0,1968,0
1968,3,95,0,1968,0
1968,3,96,0,1968,0
1968,4,10,0,1968,0
1968,4,11,1.34257286528907,1968,0
1968,4,12,0,1968,0
1968,4,13,0,1968,0
1968,4,14,0,1968,0
1968,4,15,1.81884387801856,1968,0
1968,4,16,0,1968,0
1968,4,17,0,1968,0
1968,4,18,0,1968,0
1968,4,19,0,1968,0
1968,4,20,0.56977651376733,1968,0
1968,4,21,0,1968,0
1968,4,22,0,1968,0
1968,4,23,0,1968,0
1968,4,24,0.606281292672854,1968,0
1968,4,25,0,1968,0
1968,4,26,0,1968,0
1968,4,30,0,1968,0
1968,4,31,0,1968,0
1968,4,32,0,1968,0
1968,4,33,0,1968,0
1968,4,34,0.48669945615144,1968,0
1968,4,35,0,1968,0
1968,4,36,0,1968,0
1968,4,40,0,1968,0
1968,4,41,0,1968,0
1968,4,42,0,1968,0
1968,4,43,0,1968,0
1968,4,44,0,1968,0
1968,4,45,0,1968,0
1968,4,46,0,1968,0
1968,4,47,0.606281292672854,1968,0
1968,4,48,0,1968,0
1968,4,50,0,1968,0
1968,4,51,0,1968,0
1968,4,52,0,1968,0
1968,4,53,0,1968,0
1968,4,54,0.529398168109619,1968,0
1968,4,55,0,1968,0
1968,4,56,0,1968,0
1968,4,57,0,1968,0
1968,4,58,0,1968,0
1968,4,60,0.740174867037171,1968,0
1968,4,61,0,1968,0
1968,4,62,0,1968,0
1968,4,63,0,1968,0
1968,4,64,0,1968,0
1968,4,65,0,1968,0
1968,4,66,0,1968,0
1968,4,67,0,1968,0
1968,4,70,0.606281292672854,1968,0
1968,4,71,0,1968,0
1968,4,72,0.58421418672095,1968,0
1968,4,73,0.474826451478015,1968,0
1968,4,74,0,1968,0
1968,4,75,0,1968,0
1968,4,76,0,1968,0
1968,4,77,1.81884387801856,1968,0
1968,4,80,2.29948839695584,1968,0
1968,4,81,0,1968,0
1968,4,82,0,1968,0
1968,4,83,0,1968,0
1968,4,84,0,1968,0
1968,4,85,0,1968,0
1968,4,86,0,1968,0
1968,4,90,0,1968,0
1968,4,91,0,1968,0
1968,4,92,0,1968,0
1968,4,93,0,1968,0
1968,4,94,0,1968,0
1968,4,95,0,1968,0
1968,4,96,0,1968,0
1968,5,10,4.09184971801834,1968,0
1968,5,11,0.115242514070012,1968,0
1968,5,12,0,1968,0
1968,5,13,0,1968,0
1968,5,14,0.932180245781785,1968,0
1968,5,15,0.191169776969085,1968,0
1968,5,16,0.123701212657873,1968,0
1968,5,17,0.893338511481765,1968,0
1968,5,18,0.225762403275318,1968,0
1968,5,19,0,1968,0
1968,5,20,0.941759251612522,1968,0
1968,5,21,0,1968,0
1968,5,22,0,1968,0
1968,5,23,0,1968,0
1968,5,24,0.0637232589896951,1968,0
1968,5,25,0,1968,0
1968,5,26,0,1968,0
1968,5,30,0.416139799523926,1968,0
1968,5,31,0,1968,0
1968,5,32,0,1968,0
1968,5,33,0,1968,0
1968,5,34,0.965108494597279,1968,0
1968,5,35,0,1968,0
1968,5,36,0.225762403275318,1968,0
1968,5,40,0,1968,0
1968,5,41,0.225762403275318,1968,0
1968,5,42,0,1968,0
1968,5,43,0,1968,0
1968,5,44,0,1968,0
1968,5,45,0.225762403275318,1968,0
1968,5,46,0,1968,0
1968,5,47,0.0637232589896951,1968,0
1968,5,48,0,1968,0
1968,5,50,0,1968,0
1968,5,51,0,1968,0
1968,5,52,0,1968,0
1968,5,53,0,1968,0
1968,5,54,1.5588894247151,1968,0
1968,5,55,0,1968,0
1968,5,56,0,1968,0
1968,5,57,0,1968,0
1968,5,58,0,1968,0
1968,5,60,0.0521383310024985,1968,0
1968,5,61,0,1968,0
1968,5,62,0,1968,0
1968,5,63,0,1968,0
1968,5,64,0,1968,0
1968,5,65,0,1968,0
1968,5,66,0,1968,0
1968,5,67,0,1968,0
1968,5,70,0.0637232589896951,1968,0
1968,5,71,0,1968,0
1968,5,72,0.586866185324952,1968,0
1968,5,73,0.628026983515859,1968,0
1968,5,74,0,1968,0
1968,5,75,0,1968,0
1968,5,76,0,1968,0
1968,5,77,0.191169776969085,1968,0
1968,5,80,2.39431408319683,1968,0
1968,5,81,0,1968,0
1968,5,82,0,1968,0
1968,5,83,0,1968,0
1968,5,84,0,1968,0
1968,5,85,0,1968,0
1968,5,86,0,1968,0
1968,5,90,0,1968,0
1968,5,91,0,1968,0
1968,5,92,0,1968,0
1968,5,93,0,1968,0
1968,5,94,0,1968,0
1968,5,95,0,1968,0
1968,5,96,0,1968,0
1968,6,10,14.2947701334632,1968,0
1968,6,11,0,1968,0
1968,6,12,0,1968,0
1968,6,13,0,1968,0
1968,6,14,2.98224852072052,1968,0
1968,6,15,0,1968,0
1968,6,16,0.528486964603204,1968,0
1968,6,17,2.94016997522829,1968,0
1968,6,18,0.639053254440195,1968,0
1968,6,19,0,1968,0
1968,6,20,1.00383572564466,1968,0
1968,6,21,0,1968,0
1968,6,22,0,1968,0
1968,6,23,0,1968,0
1968,6,24,0,1968,0
1968,6,25,0,1968,0
