date_sick_year,date_sick_biweek,province,cases,date_delivered_year,date_delivered_biweek
2014,1,10,85,2014,4
2014,1,10,8,2014,12
2014,1,10,1,2014,3
2014,1,10,79,2014,2
2014,1,11,13,2014,2
2014,1,11,20,2014,3
2014,1,11,4,2014,4
2014,1,12,1,2014,7
2014,1,12,2,2014,17
2014,1,12,14,2014,3
2014,1,12,5,2014,2
2014,1,13,1,2015,9
2014,1,13,2,2014,2
2014,1,13,2,2014,5
2014,1,13,1,2014,23
2014,1,13,1,2014,3
2014,1,14,3,2014,4
2014,1,14,2,2014,5
2014,1,14,4,2014,3
2014,1,14,4,2014,2
2014,1,15,1,2014,4
2014,1,15,2,2014,3
2014,1,16,11,2014,2
2014,1,17,1,2014,3
2014,1,18,2,2014,2
2014,1,19,10,2014,3
2014,1,19,3,2014,2
2014,1,20,8,2014,2
2014,1,20,11,2014,3
2014,1,20,6,2014,10
2014,1,20,3,2014,5
2014,1,21,1,2014,12
2014,1,21,8,2014,2
2014,1,21,1,2015,9
2014,1,21,1,2014,23
2014,1,21,7,2014,3
2014,1,22,1,2014,5
2014,1,22,1,2014,2
2014,1,22,1,2015,9
2014,1,22,2,2014,4
2014,1,23,1,2014,3
2014,1,23,1,2014,2
2014,1,23,1,2015,9
2014,1,24,3,2014,4
2014,1,24,2,2014,3
2014,1,24,3,2014,2
2014,1,25,1,2014,3
2014,1,25,5,2014,2
2014,1,25,1,2014,11
2014,1,27,2,2014,2
2014,1,30,2,2014,3
2014,1,30,2,2014,21
2014,1,30,1,2014,13
2014,1,30,1,2014,2
2014,1,31,1,2015,9
2014,1,32,3,2014,3
2014,1,32,1,2014,5
2014,1,32,1,2014,4
2014,1,33,1,2014,3
2014,1,34,3,2014,3
2014,1,34,1,2014,14
2014,1,35,1,2014,2
2014,1,36,1,2014,2
2014,1,38,1,2014,3
2014,1,38,2,2014,5
2014,1,42,1,2014,2
2014,1,43,1,2015,9
2014,1,44,2,2014,2
2014,1,44,2,2014,3
2014,1,48,1,2014,2
2014,1,49,1,2014,3
2014,1,50,1,2014,4
2014,1,50,1,2014,5
2014,1,50,1,2014,2
2014,1,50,1,2014,3
2014,1,52,1,2014,4
2014,1,54,1,2014,2
2014,1,55,1,2014,2
