province,year,biweek,date_sick,cases
11,2008,18,2008-08-27,162
11,2008,19,2008-09-10,141
11,2008,20,2008-09-24,123
11,2008,21,2008-10-08,122
11,2008,22,2008-10-22,113
11,2008,23,2008-11-05,107
11,2008,24,2008-11-19,74
11,2008,25,2008-12-03,67
11,2008,26,2008-12-17,56
11,2009,1,2009-01-01,24
11,2009,2,2009-01-15,39
11,2009,3,2009-01-29,41
11,2009,4,2009-02-12,51
11,2009,5,2009-02-26,34
11,2009,6,2009-03-12,34
11,2009,7,2009-03-26,39
11,2009,8,2009-04-09,38
11,2009,9,2009-04-23,38
11,2009,10,2009-05-07,40
11,2009,11,2009-05-21,48
11,2009,12,2009-06-04,75
11,2009,13,2009-06-18,69
11,2009,14,2009-07-02,73
11,2009,15,2009-07-16,89
11,2009,16,2009-07-30,123
11,2009,17,2009-08-13,74
11,2009,18,2009-08-27,76
11,2009,19,2009-09-10,76
11,2009,20,2009-09-24,52
11,2009,21,2009-10-08,41
11,2009,22,2009-10-22,65
11,2009,23,2009-11-05,99
11,2009,24,2009-11-19,76
11,2009,25,2009-12-03,57
11,2009,26,2009-12-17,21
11,2010,1,2010-01-01,41
11,2010,2,2010-01-15,47
11,2010,3,2010-01-29,45
11,2010,4,2010-02-12,40
11,2010,5,2010-02-26,77
11,2010,6,2010-03-12,60
11,2010,7,2010-03-26,39
11,2010,8,2010-04-09,36
11,2010,9,2010-04-23,28
11,2010,10,2010-05-07,30
11,2010,11,2010-05-21,33
11,2010,12,2010-06-04,48
11,2010,13,2010-06-18,44
11,2010,14,2010-07-02,69
11,2010,15,2010-07-16,75
11,2010,16,2010-07-30,91
11,2010,17,2010-08-13,89
11,2010,18,2010-08-27,104
11,2010,19,2010-09-10,85
11,2010,20,2010-09-24,85
11,2010,21,2010-10-08,78
11,2010,22,2010-10-22,89
11,2010,23,2010-11-05,73
11,2010,24,2010-11-19,93
11,2010,25,2010-12-03,57
11,2010,26,2010-12-17,16
11,2011,1,2011-01-01,55
11,2011,2,2011-01-15,28
11,2011,3,2011-01-29,20
11,2011,4,2011-02-12,36
11,2011,5,2011-02-26,46
11,2011,6,2011-03-12,22
11,2011,7,2011-03-26,22
11,2011,8,2011-04-09,52
11,2011,9,2011-04-23,62
11,2011,10,2011-05-07,102
11,2011,11,2011-05-21,76
11,2011,12,2011-06-04,62
11,2011,13,2011-06-18,101
11,2011,14,2011-07-02,68
11,2011,15,2011-07-16,41
11,2011,16,2011-07-30,26
11,2011,17,2011-08-13,70
11,2011,18,2011-08-27,45
11,2011,19,2011-09-10,26
11,2011,20,2011-09-24,31
11,2011,21,2011-10-08,46
11,2011,22,2011-10-22,30
11,2011,23,2011-11-05,20
11,2011,24,2011-11-19,23
11,2011,25,2011-12-03,25
11,2011,26,2011-12-17,2
11,2012,1,2012-01-01,16
11,2012,2,2012-01-15,10
11,2012,3,2012-01-29,4
11,2012,4,2012-02-12,11
11,2012,5,2012-02-26,6
11,2012,6,2012-03-12,6
11,2012,7,2012-03-26,8
11,2012,8,2012-04-09,13
11,2012,9,2012-04-23,19
11,2012,10,2012-05-07,13
11,2012,11,2012-05-21,20
11,2012,12,2012-06-04,12
11,2012,13,2012-06-18,14
11,2012,14,2012-07-02,20
11,2012,15,2012-07-16,20
11,2012,16,2012-07-30,23
11,2012,17,2012-08-13,27
11,2012,18,2012-08-27,30
11,2012,19,2012-09-10,31
11,2012,20,2012-09-24,16
11,2012,21,2012-10-08,20
11,2012,22,2012-10-22,35
11,2012,23,2012-11-05,64
11,2012,24,2012-11-19,43
11,2012,25,2012-12-03,55
11,2012,26,2012-12-17,36
11,2013,1,2013-01-01,63
11,2013,2,2013-01-15,41
11,2013,3,2013-01-29,35
11,2013,4,2013-02-12,29
11,2013,5,2013-02-26,36
11,2013,6,2013-03-12,55
11,2013,7,2013-03-26,34
11,2013,8,2013-04-09,34
11,2013,9,2013-04-23,43
11,2013,10,2013-05-07,41
11,2013,11,2013-05-21,28
11,2013,12,2013-06-04,11
11,2013,13,2013-06-18,20
11,2013,14,2013-07-02,25
11,2013,15,2013-07-16,40
11,2013,16,2013-07-30,30
11,2013,17,2013-08-13,54
11,2013,18,2013-08-27,45
11,2013,19,2013-09-10,36
11,2013,20,2013-09-24,49
11,2013,21,2013-10-08,37
11,2013,22,2013-10-22,43
11,2013,23,2013-11-05,32
11,2013,24,2013-11-19,45
11,2013,25,2013-12-03,22
11,2013,26,2013-12-17,13
12,2006,1,2006-01-01,8
12,2006,2,2006-01-15,14
12,2006,3,2006-01-29,11
12,2006,4,2006-02-12,12
12,2006,5,2006-02-26,12
12,2006,6,2006-03-12,10
12,2006,7,2006-03-26,6
12,2006,8,2006-04-09,17
12,2006,9,2006-04-23,18
12,2006,10,2006-05-07,44
12,2006,11,2006-05-21,33
12,2006,12,2006-06-04,58
12,2006,13,2006-06-18,54
12,2006,14,2006-07-02,53
12,2006,15,2006-07-16,97
12,2006,16,2006-07-30,93
12,2006,17,2006-08-13,120
12,2006,18,2006-08-27,76
12,2006,19,2006-09-10,72
12,2006,20,2006-09-24,67
12,2006,21,2006-10-08,49
12,2006,22,2006-10-22,63
12,2006,23,2006-11-05,58
12,2006,24,2006-11-19,62
12,2006,25,2006-12-03,33
12,2006,26,2006-12-17,8
12,2007,1,2007-01-01,20
12,2007,2,2007-01-15,9
12,2007,3,2007-01-29,20
12,2007,4,2007-02-12,15
12,2007,5,2007-02-26,29
12,2007,6,2007-03-12,19
12,2007,7,2007-03-26,32
12,2007,8,2007-04-09,20
12,2007,9,2007-04-23,25
12,2007,10,2007-05-07,29
12,2007,11,2007-05-21,62
12,2007,12,2007-06-04,67
12,2007,13,2007-06-18,115
12,2007,14,2007-07-02,78
12,2007,15,2007-07-16,93
12,2007,16,2007-07-30,111
12,2007,17,2007-08-13,144
12,2007,18,2007-08-27,107
12,2007,19,2007-09-10,97
12,2007,20,2007-09-24,106
12,2007,21,2007-10-08,71
12,2007,22,2007-10-22,46
12,2007,23,2007-11-05,55
12,2007,24,2007-11-19,39
12,2007,25,2007-12-03,43
12,2007,26,2007-12-17,16
12,2008,1,2008-01-01,29
12,2008,2,2008-01-15,24
12,2008,3,2008-01-29,26
12,2008,4,2008-02-12,17
12,2008,5,2008-02-26,35
12,2008,6,2008-03-12,50
12,2008,7,2008-03-26,38
12,2008,8,2008-04-09,33
12,2008,9,2008-04-23,24
12,2008,10,2008-05-07,45
12,2008,11,2008-05-21,53
12,2008,12,2008-06-04,70
12,2008,13,2008-06-18,102
12,2008,14,2008-07-02,136
12,2008,15,2008-07-16,140
12,2008,16,2008-07-30,96
12,2008,17,2008-08-13,98
12,2008,18,2008-08-27,86
12,2008,19,2008-09-10,94
12,2008,20,2008-09-24,66
12,2008,21,2008-10-08,76
12,2008,22,2008-10-22,57
12,2008,23,2008-11-05,49
12,2008,24,2008-11-19,54
12,2008,25,2008-12-03,31
12,2008,26,2008-12-17,28
12,2009,1,2009-01-01,27
12,2009,2,2009-01-15,11
12,2009,3,2009-01-29,17
12,2009,4,2009-02-12,10
12,2009,5,2009-02-26,17
12,2009,6,2009-03-12,11
12,2009,7,2009-03-26,9
12,2009,8,2009-04-09,18
12,2009,9,2009-04-23,22
12,2009,10,2009-05-07,39
12,2009,11,2009-05-21,29
12,2009,12,2009-06-04,41
12,2009,13,2009-06-18,39
12,2009,14,2009-07-02,37
12,2009,15,2009-07-16,49
12,2009,16,2009-07-30,53
12,2009,17,2009-08-13,50
12,2009,18,2009-08-27,52
12,2009,19,2009-09-10,66
12,2009,20,2009-09-24,45
12,2009,21,2009-10-08,37
12,2009,22,2009-10-22,63
12,2009,23,2009-11-05,57
12,2009,24,2009-11-19,35
12,2009,25,2009-12-03,51
12,2009,26,2009-12-17,26
12,2010,1,2010-01-01,42
12,2010,2,2010-01-15,43
12,2010,3,2010-01-29,33
12,2010,4,2010-02-12,33
12,2010,5,2010-02-26,33
12,2010,6,2010-03-12,31
12,2010,7,2010-03-26,9
12,2010,8,2010-04-09,9
12,2010,9,2010-04-23,9
12,2010,10,2010-05-07,6
12,2010,11,2010-05-21,15
12,2010,12,2010-06-04,20
12,2010,13,2010-06-18,27
12,2010,14,2010-07-02,35
12,2010,15,2010-07-16,45
12,2010,16,2010-07-30,58
12,2010,17,2010-08-13,54
12,2010,18,2010-08-27,47
12,2010,19,2010-09-10,57
12,2010,20,2010-09-24,51
12,2010,21,2010-10-08,49
12,2010,22,2010-10-22,64
12,2010,23,2010-11-05,65
12,2010,24,2010-11-19,41
12,2010,25,2010-12-03,31
12,2010,26,2010-12-17,18
12,2011,1,2011-01-01,15
12,2011,2,2011-01-15,11
12,2011,3,2011-01-29,13
12,2011,4,2011-02-12,7
12,2011,5,2011-02-26,17
12,2011,6,2011-03-12,6
12,2011,7,2011-03-26,11
12,2011,8,2011-04-09,14
12,2011,9,2011-04-23,19
12,2011,10,2011-05-07,37
12,2011,11,2011-05-21,47
12,2011,12,2011-06-04,57
12,2011,13,2011-06-18,56
12,2011,14,2011-07-02,71
12,2011,15,2011-07-16,46
12,2011,16,2011-07-30,42
12,2011,17,2011-08-13,57
12,2011,18,2011-08-27,34
12,2011,19,2011-09-10,33
12,2011,20,2011-09-24,31
12,2011,21,2011-10-08,18
12,2011,22,2011-10-22,14
12,2011,23,2011-11-05,20
12,2011,24,2011-11-19,19
12,2011,25,2011-12-03,11
12,2011,26,2011-12-17,5
12,2012,1,2012-01-01,8
12,2012,2,2012-01-15,6
12,2012,3,2012-01-29,9
12,2012,4,2012-02-12,4
12,2012,5,2012-02-26,4
12,2012,6,2012-03-12,3
12,2012,7,2012-03-26,5
12,2012,8,2012-04-09,3
12,2012,9,2012-04-23,6
12,2012,10,2012-05-07,5
12,2012,11,2012-05-21,3
12,2012,12,2012-06-04,9
12,2012,13,2012-06-18,5
12,2012,14,2012-07-02,12
12,2012,15,2012-07-16,11
12,2012,16,2012-07-30,22
12,2012,17,2012-08-13,26
12,2012,18,2012-08-27,26
12,2012,19,2012-09-10,28
12,2012,20,2012-09-24,32
12,2012,21,2012-10-08,18
12,2012,22,2012-10-22,29
12,2012,23,2012-11-05,29
12,2012,24,2012-11-19,32
12,2012,25,2012-12-03,28
12,2012,26,2012-12-17,30
12,2013,1,2013-01-01,23
12,2013,2,2013-01-15,25
12,2013,3,2013-01-29,29
12,2013,4,2013-02-12,21
12,2013,5,2013-02-26,29
12,2013,6,2013-03-12,20
12,2013,7,2013-03-26,16
12,2013,8,2013-04-09,10
12,2013,9,2013-04-23,16
12,2013,10,2013-05-07,14
12,2013,11,2013-05-21,9
12,2013,12,2013-06-04,15
12,2013,13,2013-06-18,16
12,2013,14,2013-07-02,21
12,2013,15,2013-07-16,33
12,2013,16,2013-07-30,35
12,2013,17,2013-08-13,55
12,2013,18,2013-08-27,74
12,2013,19,2013-09-10,33
12,2013,20,2013-09-24,25
12,2013,21,2013-10-08,39
12,2013,22,2013-10-22,30
12,2013,23,2013-11-05,29
12,2013,24,2013-11-19,22
12,2013,25,2013-12-03,26
12,2013,26,2013-12-17,12
13,2006,1,2006-01-01,4
13,2006,2,2006-01-15,2
13,2006,3,2006-01-29,5
13,2006,4,2006-02-12,4
13,2006,5,2006-02-26,9
13,2006,6,2006-03-12,13
13,2006,7,2006-03-26,18
13,2006,8,2006-04-09,10
13,2006,9,2006-04-23,15
13,2006,10,2006-05-07,17
13,2006,11,2006-05-21,27
13,2006,12,2006-06-04,25
13,2006,13,2006-06-18,16
13,2006,14,2006-07-02,52
13,2006,15,2006-07-16,37
13,2006,16,2006-07-30,52
13,2006,17,2006-08-13,37
13,2006,18,2006-08-27,52
13,2006,19,2006-09-10,57
13,2006,20,2006-09-24,13
13,2006,21,2006-10-08,0
13,2006,22,2006-10-22,7
13,2006,23,2006-11-05,24
13,2006,24,2006-11-19,11
13,2006,25,2006-12-03,12
13,2006,26,2006-12-17,0
13,2007,1,2007-01-01,2
13,2007,2,2007-01-15,2
13,2007,3,2007-01-29,2
13,2007,4,2007-02-12,2
13,2007,5,2007-02-26,1
13,2007,6,2007-03-12,2
13,2007,7,2007-03-26,0
13,2007,8,2007-04-09,1
13,2007,9,2007-04-23,3
13,2007,10,2007-05-07,7
13,2007,11,2007-05-21,4
13,2007,12,2007-06-04,6
13,2007,13,2007-06-18,23
13,2007,14,2007-07-02,11
13,2007,15,2007-07-16,13
13,2007,16,2007-07-30,13
13,2007,17,2007-08-13,34
13,2007,18,2007-08-27,32
13,2007,19,2007-09-10,38
13,2007,20,2007-09-24,35
13,2007,21,2007-10-08,48
13,2007,22,2007-10-22,30
13,2007,23,2007-11-05,16
13,2007,24,2007-11-19,18
13,2007,25,2007-12-03,21
13,2007,26,2007-12-17,25
13,2008,1,2008-01-01,29
13,2008,2,2008-01-15,14
13,2008,3,2008-01-29,14
13,2008,4,2008-02-12,7
13,2008,5,2008-02-26,25
13,2008,6,2008-03-12,17
13,2008,7,2008-03-26,16
13,2008,8,2008-04-09,19
13,2008,9,2008-04-23,18
13,2008,10,2008-05-07,13
13,2008,11,2008-05-21,16
13,2008,12,2008-06-04,34
13,2008,13,2008-06-18,59
13,2008,14,2008-07-02,55
13,2008,15,2008-07-16,48
13,2008,16,2008-07-30,36
13,2008,17,2008-08-13,54
13,2008,18,2008-08-27,46
13,2008,19,2008-09-10,40
13,2008,20,2008-09-24,35
13,2008,21,2008-10-08,24
13,2008,22,2008-10-22,19
13,2008,23,2008-11-05,25
13,2008,24,2008-11-19,8
13,2008,25,2008-12-03,4
13,2008,26,2008-12-17,9
13,2009,1,2009-01-01,11
13,2009,2,2009-01-15,19
13,2009,3,2009-01-29,8
13,2009,4,2009-02-12,11
13,2009,5,2009-02-26,11
13,2009,6,2009-03-12,7
13,2009,7,2009-03-26,9
13,2009,8,2009-04-09,7
13,2009,9,2009-04-23,5
13,2009,10,2009-05-07,10
13,2009,11,2009-05-21,12
13,2009,12,2009-06-04,14
13,2009,13,2009-06-18,17
13,2009,14,2009-07-02,14
13,2009,15,2009-07-16,17
13,2009,16,2009-07-30,20
13,2009,17,2009-08-13,24
13,2009,18,2009-08-27,20
13,2009,19,2009-09-10,16
13,2009,20,2009-09-24,20
13,2009,21,2009-10-08,22
13,2009,22,2009-10-22,15
13,2009,23,2009-11-05,30
13,2009,24,2009-11-19,8
13,2009,25,2009-12-03,20
13,2009,26,2009-12-17,6
13,2010,1,2010-01-01,22
13,2010,2,2010-01-15,13
13,2010,3,2010-01-29,11
13,2010,4,2010-02-12,15
13,2010,5,2010-02-26,13
13,2010,6,2010-03-12,19
13,2010,7,2010-03-26,16
13,2010,8,2010-04-09,11
13,2010,9,2010-04-23,3
13,2010,10,2010-05-07,3
13,2010,11,2010-05-21,9
13,2010,12,2010-06-04,16
13,2010,13,2010-06-18,16
13,2010,14,2010-07-02,25
13,2010,15,2010-07-16,22
13,2010,16,2010-07-30,30
13,2010,17,2010-08-13,47
13,2010,18,2010-08-27,35
13,2010,19,2010-09-10,38
13,2010,20,2010-09-24,23
13,2010,21,2010-10-08,34
13,2010,22,2010-10-22,14
13,2010,23,2010-11-05,14
13,2010,24,2010-11-19,20
13,2010,25,2010-12-03,14
13,2010,26,2010-12-17,5
13,2011,1,2011-01-01,4
13,2011,2,2011-01-15,4
13,2011,3,2011-01-29,7
13,2011,4,2011-02-12,4
13,2011,5,2011-02-26,17
13,2011,6,2011-03-12,13
13,2011,7,2011-03-26,11
13,2011,8,2011-04-09,11
13,2011,9,2011-04-23,20
13,2011,10,2011-05-07,24
13,2011,11,2011-05-21,53
13,2011,12,2011-06-04,44
13,2011,13,2011-06-18,20
13,2011,14,2011-07-02,25
13,2011,15,2011-07-16,37
13,2011,16,2011-07-30,21
13,2011,17,2011-08-13,27
13,2011,18,2011-08-27,16
13,2011,19,2011-09-10,19
13,2011,20,2011-09-24,8
13,2011,21,2011-10-08,3
13,2011,22,2011-10-22,9
13,2011,23,2011-11-05,5
13,2011,24,2011-11-19,15
13,2011,25,2011-12-03,1
13,2011,26,2011-12-17,1
13,2012,1,2012-01-01,4
13,2012,2,2012-01-15,3
13,2012,3,2012-01-29,2
13,2012,4,2012-02-12,4
13,2012,5,2012-02-26,3
13,2012,6,2012-03-12,4
13,2012,7,2012-03-26,0
13,2012,8,2012-04-09,4
13,2012,9,2012-04-23,6
13,2012,10,2012-05-07,0
13,2012,11,2012-05-21,3
13,2012,12,2012-06-04,3
13,2012,13,2012-06-18,9
13,2012,14,2012-07-02,5
13,2012,15,2012-07-16,15
13,2012,16,2012-07-30,17
13,2012,17,2012-08-13,11
13,2012,18,2012-08-27,11
13,2012,19,2012-09-10,14
13,2012,20,2012-09-24,4
13,2012,21,2012-10-08,8
13,2012,22,2012-10-22,12
13,2012,23,2012-11-05,20
13,2012,24,2012-11-19,10
13,2012,25,2012-12-03,18
13,2012,26,2012-12-17,9
13,2013,1,2013-01-01,33
13,2013,2,2013-01-15,18
13,2013,3,2013-01-29,28
13,2013,4,2013-02-12,16
13,2013,5,2013-02-26,19
13,2013,6,2013-03-12,29
13,2013,7,2013-03-26,25
13,2013,8,2013-04-09,17
13,2013,9,2013-04-23,12
13,2013,10,2013-05-07,24
13,2013,11,2013-05-21,26
13,2013,12,2013-06-04,26
13,2013,13,2013-06-18,29
13,2013,14,2013-07-02,44
13,2013,15,2013-07-16,38
13,2013,16,2013-07-30,41
13,2013,17,2013-08-13,36
13,2013,18,2013-08-27,27
13,2013,19,2013-09-10,23
13,2013,20,2013-09-24,12
13,2013,21,2013-10-08,16
13,2013,22,2013-10-22,25
13,2013,23,2013-11-05,16
13,2013,24,2013-11-19,6
13,2013,25,2013-12-03,9
13,2013,26,2013-12-17,3
14,2006,1,2006-01-01,10
14,2006,2,2006-01-15,6
14,2006,3,2006-01-29,4
14,2006,4,2006-02-12,22
14,2006,5,2006-02-26,11
14,2006,6,2006-03-12,10
14,2006,7,2006-03-26,8
14,2006,8,2006-04-09,3
14,2006,9,2006-04-23,8
14,2006,10,2006-05-07,3
14,2006,11,2006-05-21,10
14,2006,12,2006-06-04,11
14,2006,13,2006-06-18,8
14,2006,14,2006-07-02,9
14,2006,15,2006-07-16,7
14,2006,16,2006-07-30,22
14,2006,17,2006-08-13,24
14,2006,18,2006-08-27,7
14,2006,19,2006-09-10,13
14,2006,20,2006-09-24,5
14,2006,21,2006-10-08,20
14,2006,22,2006-10-22,10
14,2006,23,2006-11-05,10
14,2006,24,2006-11-19,8
14,2006,25,2006-12-03,3
14,2006,26,2006-12-17,0
14,2007,1,2007-01-01,4
14,2007,2,2007-01-15,4
14,2007,3,2007-01-29,4
14,2007,4,2007-02-12,5
14,2007,5,2007-02-26,4
14,2007,6,2007-03-12,2
14,2007,7,2007-03-26,6
14,2007,8,2007-04-09,4
14,2007,9,2007-04-23,8
14,2007,10,2007-05-07,14
14,2007,11,2007-05-21,17
14,2007,12,2007-06-04,16
14,2007,13,2007-06-18,16
14,2007,14,2007-07-02,16
