province,year,biweek,date_sick,cases
10,2006,1,2006-01-01,265
10,2006,2,2006-01-15,162
10,2006,3,2006-01-29,211
10,2006,4,2006-02-12,113
10,2006,5,2006-02-26,165
10,2006,6,2006-03-12,146
10,2006,7,2006-03-26,137
10,2006,8,2006-04-09,117
10,2006,9,2006-04-23,74
10,2006,10,2006-05-07,406
10,2006,11,2006-05-21,335
10,2006,12,2006-06-04,450
10,2006,13,2006-06-18,332
10,2006,14,2006-07-02,533
10,2006,15,2006-07-16,166
10,2006,16,2006-07-30,475
10,2006,17,2006-08-13,77
10,2006,18,2006-08-27,335
10,2006,19,2006-09-10,280
10,2006,20,2006-09-24,260
10,2006,21,2006-10-08,291
10,2006,22,2006-10-22,206
10,2006,23,2006-11-05,382
10,2006,24,2006-11-19,94
10,2006,25,2006-12-03,429
10,2006,26,2006-12-17,173
10,2007,1,2007-01-01,310
10,2007,2,2007-01-15,192
10,2007,3,2007-01-29,137
10,2007,4,2007-02-12,121
10,2007,5,2007-02-26,132
10,2007,6,2007-03-12,104
10,2007,7,2007-03-26,100
10,2007,8,2007-04-09,122
10,2007,9,2007-04-23,104
10,2007,10,2007-05-07,160
10,2007,11,2007-05-21,224
10,2007,12,2007-06-04,312
10,2007,13,2007-06-18,255
10,2007,14,2007-07-02,365
10,2007,15,2007-07-16,202
10,2007,16,2007-07-30,388
10,2007,17,2007-08-13,229
10,2007,18,2007-08-27,244
10,2007,19,2007-09-10,404
10,2007,20,2007-09-24,278
10,2007,21,2007-10-08,302
10,2007,22,2007-10-22,373
10,2007,23,2007-11-05,382
10,2007,24,2007-11-19,319
10,2007,25,2007-12-03,264
10,2007,26,2007-12-17,167
10,2008,1,2008-01-01,235
10,2008,2,2008-01-15,208
10,2008,3,2008-01-29,242
10,2008,4,2008-02-12,210
10,2008,5,2008-02-26,291
10,2008,6,2008-03-12,179
10,2008,7,2008-03-26,203
10,2008,8,2008-04-09,308
10,2008,9,2008-04-23,210
10,2008,10,2008-05-07,276
10,2008,11,2008-05-21,324
10,2008,12,2008-06-04,393
10,2008,13,2008-06-18,429
10,2008,14,2008-07-02,543
10,2008,15,2008-07-16,462
10,2008,16,2008-07-30,782
10,2008,17,2008-08-13,450
10,2008,18,2008-08-27,307
10,2008,19,2008-09-10,210
10,2008,20,2008-09-24,404
10,2008,21,2008-10-08,624
10,2008,22,2008-10-22,462
10,2008,23,2008-11-05,583
10,2008,24,2008-11-19,296
10,2008,25,2008-12-03,408
10,2008,26,2008-12-17,172
10,2009,1,2009-01-01,198
10,2009,2,2009-01-15,122
10,2009,3,2009-01-29,145
10,2009,4,2009-02-12,93
10,2009,5,2009-02-26,92
10,2009,6,2009-03-12,109
10,2009,7,2009-03-26,67
10,2009,8,2009-04-09,117
10,2009,9,2009-04-23,100
10,2009,10,2009-05-07,116
10,2009,11,2009-05-21,189
10,2009,12,2009-06-04,230
10,2009,13,2009-06-18,318
10,2009,14,2009-07-02,177
10,2009,15,2009-07-16,277
10,2009,16,2009-07-30,302
10,2009,17,2009-08-13,281
10,2009,18,2009-08-27,234
10,2009,19,2009-09-10,261
10,2009,20,2009-09-24,275
10,2009,21,2009-10-08,268
10,2009,22,2009-10-22,334
10,2009,23,2009-11-05,397
10,2009,24,2009-11-19,338
10,2009,25,2009-12-03,331
10,2009,26,2009-12-17,284
10,2010,1,2010-01-01,230
10,2010,2,2010-01-15,152
10,2010,3,2010-01-29,209
10,2010,4,2010-02-12,230
10,2010,5,2010-02-26,221
10,2010,6,2010-03-12,195
10,2010,7,2010-03-26,107
10,2010,8,2010-04-09,135
10,2010,9,2010-04-23,85
10,2010,10,2010-05-07,108
10,2010,11,2010-05-21,132
10,2010,12,2010-06-04,147
10,2010,13,2010-06-18,205
10,2010,14,2010-07-02,225
10,2010,15,2010-07-16,291
10,2010,16,2010-07-30,399
10,2010,17,2010-08-13,469
10,2010,18,2010-08-27,539
10,2010,19,2010-09-10,549
10,2010,20,2010-09-24,545
10,2010,21,2010-10-08,493
10,2010,22,2010-10-22,558
10,2010,23,2010-11-05,537
10,2010,24,2010-11-19,433
10,2010,25,2010-12-03,353
10,2010,26,2010-12-17,163
10,2011,1,2011-01-01,268
10,2011,2,2011-01-15,174
10,2011,3,2011-01-29,142
10,2011,4,2011-02-12,141
10,2011,5,2011-02-26,115
10,2011,6,2011-03-12,116
10,2011,7,2011-03-26,111
10,2011,8,2011-04-09,176
10,2011,9,2011-04-23,217
10,2011,10,2011-05-07,324
10,2011,11,2011-05-21,432
10,2011,12,2011-06-04,440
10,2011,13,2011-06-18,517
10,2011,14,2011-07-02,486
10,2011,15,2011-07-16,398
10,2011,16,2011-07-30,350
10,2011,17,2011-08-13,376
10,2011,18,2011-08-27,321
10,2011,19,2011-09-10,217
10,2011,20,2011-09-24,191
10,2011,21,2011-10-08,211
10,2011,22,2011-10-22,274
10,2011,23,2011-11-05,373
10,2011,24,2011-11-19,361
10,2011,25,2011-12-03,236
10,2011,26,2011-12-17,86
10,2012,1,2012-01-01,112
10,2012,2,2012-01-15,80
10,2012,3,2012-01-29,86
10,2012,4,2012-02-12,95
10,2012,5,2012-02-26,102
10,2012,6,2012-03-12,81
10,2012,7,2012-03-26,53
10,2012,8,2012-04-09,89
10,2012,9,2012-04-23,84
10,2012,10,2012-05-07,62
10,2012,11,2012-05-21,60
10,2012,12,2012-06-04,83
10,2012,13,2012-06-18,135
10,2012,14,2012-07-02,159
10,2012,15,2012-07-16,220
10,2012,16,2012-07-30,284
10,2012,17,2012-08-13,264
10,2012,18,2012-08-27,302
10,2012,19,2012-09-10,318
10,2012,20,2012-09-24,341
10,2012,21,2012-10-08,441
10,2012,22,2012-10-22,658
10,2012,23,2012-11-05,650
10,2012,24,2012-11-19,638
10,2012,25,2012-12-03,589
10,2012,26,2012-12-17,390
10,2013,1,2013-01-01,526
10,2013,2,2013-01-15,341
10,2013,3,2013-01-29,271
10,2013,4,2013-02-12,219
10,2013,5,2013-02-26,173
10,2013,6,2013-03-12,157
10,2013,7,2013-03-26,141
10,2013,8,2013-04-09,173
10,2013,9,2013-04-23,160
10,2013,10,2013-05-07,143
10,2013,11,2013-05-21,193
10,2013,12,2013-06-04,260
10,2013,13,2013-06-18,342
10,2013,14,2013-07-02,450
10,2013,15,2013-07-16,559
10,2013,16,2013-07-30,478
10,2013,17,2013-08-13,578
10,2013,18,2013-08-27,549
10,2013,19,2013-09-10,398
10,2013,20,2013-09-24,372
10,2013,21,2013-10-08,393
10,2013,22,2013-10-22,478
10,2013,23,2013-11-05,466
10,2013,24,2013-11-19,373
10,2013,25,2013-12-03,311
10,2013,26,2013-12-17,128
11,2006,1,2006-01-01,27
11,2006,2,2006-01-15,30
11,2006,3,2006-01-29,37
11,2006,4,2006-02-12,37
11,2006,5,2006-02-26,35
11,2006,6,2006-03-12,32
11,2006,7,2006-03-26,29
11,2006,8,2006-04-09,32
11,2006,9,2006-04-23,24
11,2006,10,2006-05-07,21
11,2006,11,2006-05-21,26
11,2006,12,2006-06-04,36
11,2006,13,2006-06-18,42
11,2006,14,2006-07-02,39
11,2006,15,2006-07-16,47
11,2006,16,2006-07-30,54
11,2006,17,2006-08-13,55
11,2006,18,2006-08-27,51
11,2006,19,2006-09-10,46
11,2006,20,2006-09-24,46
11,2006,21,2006-10-08,45
11,2006,22,2006-10-22,60
11,2006,23,2006-11-05,38
11,2006,24,2006-11-19,32
11,2006,25,2006-12-03,31
11,2006,26,2006-12-17,25
11,2007,1,2007-01-01,35
11,2007,2,2007-01-15,42
11,2007,3,2007-01-29,22
11,2007,4,2007-02-12,21
11,2007,5,2007-02-26,30
11,2007,6,2007-03-12,31
11,2007,7,2007-03-26,32
11,2007,8,2007-04-09,21
11,2007,9,2007-04-23,24
11,2007,10,2007-05-07,40
11,2007,11,2007-05-21,72
11,2007,12,2007-06-04,123
11,2007,13,2007-06-18,111
11,2007,14,2007-07-02,100
11,2007,15,2007-07-16,121
11,2007,16,2007-07-30,147
11,2007,17,2007-08-13,132
11,2007,18,2007-08-27,119
11,2007,19,2007-09-10,85
11,2007,20,2007-09-24,79
11,2007,21,2007-10-08,123
11,2007,22,2007-10-22,124
11,2007,23,2007-11-05,122
11,2007,24,2007-11-19,86
11,2007,25,2007-12-03,55
11,2007,26,2007-12-17,48
11,2008,1,2008-01-01,50
11,2008,2,2008-01-15,50
11,2008,3,2008-01-29,34
11,2008,4,2008-02-12,37
11,2008,5,2008-02-26,41
11,2008,6,2008-03-12,39
11,2008,7,2008-03-26,32
11,2008,8,2008-04-09,38
11,2008,9,2008-04-23,39
11,2008,10,2008-05-07,31
11,2008,11,2008-05-21,45
11,2008,12,2008-06-04,64
11,2008,13,2008-06-18,101
11,2008,14,2008-07-02,117
11,2008,15,2008-07-16,127
11,2008,16,2008-07-30,156
11,2008,17,2008-08-13,187
